date;AdrActCnt;BlkCnt;BlkSizeByte;BlkSizeMeanByte;CapMrktCurUSD;DiffMean;FeeMeanNtv;FeeMeanUSD;FeeMedNtv;FeeMedUSD;FeeTotNtv;FeeTotUSD;HashRate;IssContNtv;IssContPctAnn;IssContUSD;IssTotNtv;IssTotUSD;NVTAdj;NVTAdj90;PriceBTC;PriceUSD;ROI1yr;ROI30d;SplyCur;SplyExpFut10yrCMBI;SplyFF;TxCnt;TxTfrCnt;TxTfrValAdjNtv;TxTfrValAdjUSD;TxTfrValMeanNtv;TxTfrValMeanUSD;TxTfrValMedNtv;TxTfrValMedUSD;TxTfrValNtv;TxTfrValUSD;VtyDayRet180d;VtyDayRet30d;VtyDayRet60d
2015-08-18;1544;4948;3208720;648.488278092158;78698415.4988737;4377694725368.53;0.00477388586213952;0.005175782934901074;0.001205692772676;0.0013071959107864447;11.906071340176043;12.908402639643366;0.250772424488451;26162.8125;13.1557413926889;28365.369926508516;26162.8125;28365.369926508516;53.56374159;;0.004975937650241749;1.08418656925774;;;72587521.12448;176321028.762152;64026549.6931;2494;2498;1355161.5136605;1469247.9122857035;787.300486856734;853.5806138201508;7.87847178861323;8.541733299490469;1966676.6161681209;2132244.373322736;;;
2015-08-29;1537;4329;2952536;682.036498036498;85911192.23873067;6657649139909.99;0.00133062370767381;0.001568805351347422;0.00105;0.00123795;5.507451526061552;6.49328534922657;0.333576122685001;22525.0;11.2829255681427;26556.975;22525.0;26556.975;179.7244304;;0.0051299634206219;1.179;;;72867847.53073;166111523.854205;64306876.09935;4139;4101;405442.08357216;478016.21653157665;105.544710970013;124.43721423364532;3.24884934;3.83039337186;432838.859688022;510317.0155721779;;;
2015-09-14;1781;4851;3740946;771.170068027211;69954905.87778465;6626273317244.02;0.00177701874002064;0.0016970528967197112;0.00105;0.00100275;9.901548419395162;9.45597874052238;0.372284107600736;25588.125;12.7501860805269;24436.659375;25588.125;24436.659375;355.1352539;;0.004135115769784746;0.955;;-46.41521860851439;73251210.34323;170370774.5611;65590238.71311;5572;5491;206262.852077272;196981.02373379475;48.7956158731693;46.59981315887668;2.02093726;1.9299950833;267936.7267595725;255879.57405539174;;0.11565148203026768;
2015-10-23;1684;5263;4302628;817.523845715371;41955772.68374406;5878810489624.56;0.00199592645061656;0.001127518811217801;0.00105;0.0005931555;13.747941391847577;7.766349571668615;0.358255652152413;27554.84375;13.5418611368536;15566.0067828125;27554.84375;15566.0067828125;148.93945612;;0.0020275810894268766;0.56491;;-37.92197802197802;74269835.34323;170727444.045618;67358863.72437;6888;6292;498657.892789925;281696.83021595655;123.01620734278;69.49308569000985;2.624185845;1.48242882569895;774017.9766007726;437250.4951615425;;0.10215327662381597;0.10041386105407428
2015-12-01;1880;5078;4302400;847.262701851123;65034729.329989165;7873489340191.89;0.00192440225854803;0.0016613237604266528;0.00105;0.0009064580654587962;13.074388944575778;11.287033628339078;0.462969416739874;27542.8125;13.3448664378305;23777.528129566046;27542.8125;23777.528129566046;481.59171302;179.9852852527959;0.0023812863437682914;0.863293395675044;;-12.798646901510702;75333287.21823;175985146.347203;71447315.71252;6794;6470;156425.630220573;135041.21348372725;37.2879908065316;32.190476201270485;2.302395935;1.9876432049145678;241253.30051825935;208272.38102221995;;0.08274465861328686;0.09926430509946634
2016-03-03;9175;5014;6259707;1248.44575189469;722493178.4900848;15598739569339.5;0.00142258449450638;0.013208569346426858;0.00105;0.009749155756516649;35.332731090065565;328.06123685730233;0.905177587872144;26111.25;12.2479804985791;242440.61261651936;26111.25;242440.61261651936;41.70826487;275.9563895167808;0.022145482258355196;9.28491024430157;;279.5134432973055;77813695.49948;174580687.923477;75003634.33477;24837;24504;1865666.09151226;17322542.20552825;85.9417391548611;797.9613342920632;1.14035934;10.588134118150977;2105916.376250717;19553244.535492722;0.09306932164618002;0.10160533695330669;0.0906309003368448
2016-04-22;12957;6031;7784632;1290.76968993533;627263418.5008229;29740314823372.9;0.000649538467082566;0.005135731205986576;0.00042;0.0033208304293395672;20.576079560249553;162.68969314330622;2.07776643052379;31576.71875;14.52804954698;249668.87734213634;31576.71875;249668.87734213634;121.77186245;82.83357449323206;0.017643677301029472;7.90673911747516;;-36.262845030936965;79332757.68698;196275312.091833;76672696.89285071;31678;31092;651486.772837012;5151135.951308057;24.2953217591363;192.0967709246084;1.02506945;8.104956718443747;755390.1441350667;5972672.801587931;0.0841037717257666;0.05538452453862348;0.07779432827586506
2016-07-19;26614;5970;8966339;1501.89932998325;959161482.4193319;60392956399108.1;0.000661277805810312;0.007720831756828798;0.00042;0.004903762547866728;29.21789857194603;341.13723034399453;4.17334919477502;31773.90625;14.1173078748594;370980.2177813775;31773.90625;370980.2177813775;8.55728077;50.04341065751774;0.017305930214288213;11.6756251139684;;-5.218416966751034;82150760.49948;199969093.720189;79730693.64741948;44184;42327;9600101.09101622;112087181.39490442;230.947681409116;2696.458549073048;1.0468759;12.222930549248272;9775322.511003638;114133001.00661471;0.08363931940200815;0.05442992888353041;0.07824616234500044
2016-08-23;21902;6015;12168935;2023.09808811305;915916205.6191753;65758103112503.1;0.00148913010245047;0.016378646407573548;0.0004694447615865;0.005163329748865035;72.1185708616431;793.217845518422;4.57962841464893;32187.03125;14.1079336081996;354018.76765888865;32187.03125;354018.76765888865;18.74220772;25.609742294961986;0.018877922569159537;10.9988015020456;788.4043732064877;-13.535720790446042;83274182.68698;202146812.414984;80842755.11263552;48430;55161;4443136.25857292;48869173.7545851;149.479904437147;1644.099797448925;1.00030160889024;11.002118838360602;8245461.0086574685;90690188.9270802;0.0772307440464362;0.08181217642374088;0.0720007862403801
2016-08-26;19894;6006;9668886;1609.87112887113;940374657.0543668;70034672663921.7;0.00066768028308841;0.007531079874876202;0.00042;0.004737377495733498;31.575935947838293;356.15982944288453;4.86813530902708;31871.40625;13.9534588641067;359492.57791935705;31871.40625;359492.57791935705;42.52991095;26.460770712823727;0.01948516861347457;11.2794702279369;892.5092152769917;-13.643800062360373;83370463.15573;202059826.16999;80939035.58138552;47292;49736;1960278.33827028;22110901.154989243;67.9453888352386;766.38799049267;1.00069543917902;11.287314413451996;3379331.8591094282;38117073.09514345;0.07701645072338399;0.07401872106189762;0.07197153252833242
